ID,Ref No , Methods,Scale,Crop,Country,Site(location),Region,latitude,longitude,Current Average Temperature (dC)_area_weighted,Current Average Temperature_point_coordinate (dC),Current Annual Precipitation (mm) _area_weighted ,Current Annual Precipitation  (mm) _point_coordinate,Future_Mid-point,Baseline_Mid-point,Time slice,Climate scenario,Scenario source,Local delta T ,Local delta T from 2005,Annual Precipitation change each study  (mm) , Annual Precipitation change  from 2005 (mm)_cal,Global delta T from pre-industrial period_cal,Global delta T from 2005_cal,GCM/RCM,Crop Model ,Baseline yield (t/ha),Projected yield (t/ha),Data Location,Climate impacts (%),Climate impacts relative to 2005,Climate impacts per dC (%)_cal/measured,Climate impacts per decade (%),CO2,CO2 ppm_derived from other sources if NA,Fertiliser,Irrigation,Cultivar,Soil organic matter management,Planting time,Tillage,Others,Adaptation,Adaptation type,Reference,doi,Publication year,"Note1 
(* = corrected by HW) ","Note2 
(* = Local temperature is  estimated )","Note3 
(* = Local delta Pr is  estimated )","Note4 
(* = Global temperature is  estimated )",Seasonal Precipitation change (mm) each study (local baseperiod),Base precipitation (annual) (mm) (local base period),Annual Preciptation change (%) (relative to local base),Base precipitation (seasonal) (mm) (local base period),Projected precipitation (mm) ,Estimated  precipitation change from 2005 (mm) ,Estimated  precipitation (mm)
,68,WoS,Regional,Wheat,Ethiopia,Jamma district,Africa,10.59167,39.47222,,,,,2030,1994,NF,RCP4.5,CIMP5,,,,,,,Ensemble,DSSAT (Baseline available),3.01,3.22,Table 5,6.737470959,,,,Yes,423,No,No,No,No,No,No,No,No,No,"Kindu et al, 2023",10.1007/s41748-022-00321-1,2023,,,,,,,,,,,
,68,WoS,Regional,Wheat,Ethiopia,Jamma district,Africa,10.59167,39.47222,,,,,2030,1994,NF,RCP4.5,CIMP5,,,,,,,Ensemble,DSSAT (Baseline available),2.55,2.65,Table 5,4.202670856,,,,Yes,423,No,No,No,No,Yes,No,No,No,Planting time,"Kindu et al, 2023",10.1007/s41748-022-00321-1,2023,,,,,,,,,,,
,68,WoS,Regional,Wheat,Ethiopia,Jamma district,Africa,10.59167,39.47222,,,,,2030,1994,NF,RCP4.5,CIMP5,,,,,,,Ensemble,DSSAT (Baseline available),3.45,3.61,Table 5,4.662612221,,,,Yes,423,No,No,No,No,Yes,No,No,No,Planting time,"Kindu et al, 2023",10.1007/s41748-022-00321-1,2023,,,,,,,,,,,
,68,WoS,Regional,Wheat,Ethiopia,Jamma district,Africa,10.59167,39.47222,,,,,2030,1994,NF,RCP4.5,CIMP5,,,,,,,Ensemble,DSSAT (Baseline available),2.01,1.77,Table 5,-11.61515454,,,,Yes,423,No,No,Yes,No,No,No,No,No,Cultivar,"Kindu et al, 2023",10.1007/s41748-022-00321-1,2023,,,,,,,,,,,
,68,WoS,Regional,Wheat,Ethiopia,Jamma district,Africa,10.59167,39.47222,,,,,2030,1994,NF,RCP4.5,CIMP5,,,,,,,Ensemble,DSSAT (Baseline available),1.58,1.77,Table 5,12.42866202,,,,Yes,423,No,No,Yes,No,Yes,No,No,No,Combined,"Kindu et al, 2023",10.1007/s41748-022-00321-1,2023,,,,,,,,,,,
,68,WoS,Regional,Wheat,Ethiopia,Jamma district,Africa,10.59167,39.47222,,,,,2030,1994,NF,RCP4.5,CIMP5,,,,,,,Ensemble,DSSAT (Baseline available),2.19,2.46,Table 5,12.27189781,,,,Yes,423,No,No,Yes,No,Yes,No,No,No,Combined,"Kindu et al, 2023",10.1007/s41748-022-00321-1,2023,,,,,,,,,,,
,68,WoS,Regional,Wheat,Ethiopia,Jamma district,Africa,10.59167,39.47222,,,,,2030,1994,NF,RCP4.5,CIMP5,,,,,,,Ensemble,DSSAT (Baseline available),4.47,4.46,Table 5,-0.179131214,,,,Yes,423,No,No,Yes,No,No,No,No,No,Cultivar,"Kindu et al, 2023",10.1007/s41748-022-00321-1,2023,,,,,,,,,,,
,68,WoS,Regional,Wheat,Ethiopia,Jamma district,Africa,10.59167,39.47222,,,,,2030,1994,NF,RCP4.5,CIMP5,,,,,,,Ensemble,DSSAT (Baseline available),3.79,3.87,Table 5,2.192287375,,,,Yes,423,No,No,Yes,No,Yes,No,No,No,Combined,"Kindu et al, 2023",10.1007/s41748-022-00321-1,2023,,,,,,,,,,,
,68,WoS,Regional,Wheat,Ethiopia,Jamma district,Africa,10.59167,39.47222,,,,,2030,1994,NF,RCP4.5,CIMP5,,,,,,,Ensemble,DSSAT (Baseline available),4.78,4.83,Table 5,1.025963149,,,,Yes,423,No,No,Yes,No,Yes,No,No,No,Combined,"Kindu et al, 2023",10.1007/s41748-022-00321-1,2023,,,,,,,,,,,
,68,WoS,Regional,Wheat,Ethiopia,Jamma district,Africa,10.59167,39.47222,,,,,2030,1994,NF,RCP8.5,CIMP5,,,,,,,Ensemble,DSSAT (Baseline available),3.01,3.19,Table 5,5.708596084,,,,Yes,432,No,No,No,No,No,No,No,No,No,"Kindu et al, 2023",10.1007/s41748-022-00321-1,2023,,,,,,,,,,,
,68,WoS,Regional,Wheat,Ethiopia,Jamma district,Africa,10.59167,39.47222,,,,,2030,1994,NF,RCP8.5,CIMP5,,,,,,,Ensemble,DSSAT (Baseline available),2.55,2.66,Table 5,4.399057345,,,,Yes,432,No,No,No,No,Yes,No,No,No,Planting time,"Kindu et al, 2023",10.1007/s41748-022-00321-1,2023,,,,,,,,,,,
,68,WoS,Regional,Wheat,Ethiopia,Jamma district,Africa,10.59167,39.47222,,,,,2030,1994,NF,RCP8.5,CIMP5,,,,,,,Ensemble,DSSAT (Baseline available),3.45,3.66,Table 5,5.84998552,,,,Yes,432,No,No,No,No,Yes,No,No,No,Planting time,"Kindu et al, 2023",10.1007/s41748-022-00321-1,2023,,,,,,,,,,,
