Adaptation type.y,Climate scenario,Mean_Treatment,Min_Treatment,Max_Treatment,SD_Treatment,Mean_Control,Min_Control,Max_Control,SD_Control,Number of papers,DOI_List
Combined,RCP4.5,-38.56167111,-100,67.50750751,33.09770742,-44.47249641,-100,-1.711711712,26.26710574,5,"1, 101, 6, 89, 94"
Cultivar,RCP4.5,-14.5536,-14.5536,-14.5536,NA,-17,-17,-17,NA,1,6
Cultivar - Long duration,RCP4.5,10.8,10.8,10.8,0,-12.04379562,-12.04379562,-12.04379562,0,1,96
Cultivar - Short duration,RCP4.5,-13.2,-13.2,-13.2,0,-12.04379562,-12.04379562,-12.04379562,0,1,96
Fertilizer,RCP4.5,2.148856736,-50.20190896,109.047,31.19289015,-9.333272936,-17,-0.229357798,4.987989553,5,"1, 101, 6, 70, 96"
Irrigation,RCP4.5,7.028008821,-8.28397,27.31958763,10.55239468,-7.72630443,-17,-0.229357798,6.374632459,4,"101, 6, 70, 93"
Mulch,RCP4.5,-0.293577982,-0.293577982,-0.293577982,NA,-0.229357798,-0.229357798,-0.229357798,NA,1,70
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Combined,RCP8.5,-45.872675,-100,57.41741742,33.86590461,-51.28339769,-100,10.06006006,27.74432691,6,"1, 100, 101, 6, 89, 94"
Cultivar,RCP8.5,-14.7769,-14.7769,-14.7769,NA,-22,-22,-22,NA,1,6
Cultivar - Long duration,RCP8.5,11,11,11,0,-14.13219789,-16.38280616,-11.88158962,3.182840743,1,96
Cultivar - Short duration,RCP8.5,-14.6,-14.6,-14.6,0,-14.13219789,-16.38280616,-11.88158962,3.182840743,1,96
Fertilizer,RCP8.5,4.484756367,-47,97.0134,17.69020691,-1.789722092,-44,10.06006006,9.503233222,6,"1, 101, 6, 70, 96, 98"
Irrigation,RCP8.5,-3.220101127,-27.31958763,20.66066066,8.236794825,0.909686501,-32.29166667,18.87417219,11.02812307,6,"101, 6, 70, 93, 95, 97"
Mulch,RCP8.5,-0.300917431,-0.300917431,-0.300917431,NA,-0.280733945,-0.280733945,-0.280733945,NA,1,70
Planting date,RCP8.5,10.625,-26.2,32.2,16.14074644,-15.59166667,-68.7,-2.8,19.83244852,1,51
